TWS	6	8	10	12	14	16	20
Beat_TWA	44.5°	43.2°	41.9°	41.8°	40.9°	40.6°	42.2°
Beat_VMG	3.48	4.2	4.67	4.92	5.09	5.17	5.03
52°	5.38	6.36	7.05	7.29	7.44	7.53	7.48
60°	5.73	6.69	7.33	7.61	7.76	7.86	7.89
70°	5.96	6.89	7.48	7.92	8.1	8.22	8.33
75°	6.01	6.92	7.5	7.99	8.25	8.39	8.53
80°	6.02	6.95	7.49	7.98	8.38	8.55	8.72
90°	6.08	7.13	7.58	7.85	8.31	8.77	9.13
110°	5.99	7.1	7.84	8.41	8.73	9.04	9.57
120°	5.8	6.92	7.67	8.29	8.95	9.43	10.1
135°	5.15	6.3	7.2	7.78	8.32	8.91	10.71
150°	4.22	5.4	6.41	7.18	7.71	8.2	9.31
165°	3.55	4.65	5.68	6.51	7.19	7.69	8.65
180°	3.27	4.31	5.29	6.14	6.86	7.4	8.3
Gybe_TWA	142.1°	146.7°	153.9°	159.3°	167.6°	170.7°	169.8°
Run_VMG	3.72	4.69	5.57	6.32	6.95	7.45	8.37
