TWS	6	8	10	12	14	16	20
Beat_TWA	45.0°	44.8°	41.7°	39.9°	39.1°	39.1°	39.8°
Beat_VMG	3.75	4.62	5.2	5.53	5.73	5.83	5.77
52°	5.86	7.08	7.78	8.1	8.3	8.42	8.41
60°	6.31	7.42	8.13	8.44	8.63	8.75	8.82
70°	6.64	7.64	8.32	8.77	8.97	9.11	9.24
75°	6.71	7.68	8.34	8.86	9.12	9.27	9.44
80°	6.74	7.69	8.34	8.88	9.25	9.43	9.64
90°	6.66	7.71	8.36	8.74	9.23	9.7	10.03
110°	6.37	7.65	8.57	9.19	9.54	9.87	10.46
120°	6.11	7.45	8.4	9.06	9.73	10.28	11.01
135°	5.39	6.81	7.87	8.53	9.09	9.68	11.26
150°	4.36	5.67	6.97	7.8	8.41	8.93	10.01
165°	3.64	4.81	5.99	7	7.74	8.33	9.32
180°	3.31	4.39	5.48	6.46	7.27	7.92	8.9
Gybe_TWA	140.7°	143.0°	150.3°	156.6°	162.9°	167.1°	168.4°
Run_VMG	3.87	4.95	6.04	6.8	7.48	8.05	9.02
