TWS	6	8	10	12	14	16	20
Beat_TWA	45.5°	44.9°	41.4°	39.7°	38.9°	39.1°	39.6°
Beat_VMG	3.85	4.71	5.24	5.57	5.78	5.83	5.78
52°	6.04	7.22	7.82	8.13	8.33	8.42	8.43
60°	6.54	7.59	8.18	8.47	8.65	8.77	8.84
70°	6.87	7.82	8.46	8.78	8.98	9.11	9.24
75°	6.94	7.86	8.5	8.91	9.12	9.27	9.43
80°	6.97	7.87	8.51	9.01	9.25	9.42	9.62
90°	6.92	7.81	8.41	8.93	9.42	9.7	9.99
110°	6.31	7.57	8.37	8.98	9.57	9.9	10.44
120°	6.05	7.36	8.17	8.78	9.34	9.95	10.99
135°	5.32	6.7	7.61	8.26	8.79	9.3	10.54
150°	4.31	5.57	6.71	7.54	8.17	8.68	9.65
165°	3.61	4.76	5.81	6.8	7.55	8.15	9.1
180°	3.34	4.42	5.43	6.39	7.2	7.85	8.81
Gybe_TWA	140.7°	143.8°	149.3°	159.2°	165.1°	170.5°	173.2°
Run_VMG	3.82	4.86	5.82	6.6	7.29	7.89	8.85
