Wind_speed:6,8,10,12,14,16,20
Beat_angle:45,44,40,39,37,37,37
Beat_VMG:3.87,4.81,5.35,5.58,5.85,5.92,5.98
52:6.02,7.22,7.77,8.08,8.26,8.37,8.45
60:6.52,7.55,8.13,8.39,8.54,8.63,8.72
70:6.86,7.75,8.37,8.64,8.79,8.90,9.04
75:6.94,7.80,8.41,8.74,8.90,9.03,9.20
80:6.97,7.81,8.42,8.81,9.02,9.17,9.37
90:6.91,8.00,8.56,8.76,9.15,9.43,9.68
110:6.87,7.86,8.52,9.03,9.39,9.63,10.08
120:6.49,7.58,8.29,8.79,9.35,9.91,10.55
135:5.53,6.93,7.74,8.36,8.80,9.28,10.59
150:4.58,5.82,6.91,7.66,8.25,8.69,9.60
165:4.10,5.22,6.20,6.97,7.64,8.21,9.05
180:3.96,5.04,5.99,6.73,7.38,7.95,8.80
Run_angle:141,143,150,160,165,169,173
Run_VMG:3.98,5.04,5.98,6.74,7.35,7.94,8.78
