TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
5;0.000;0.130;0.250;0.380;0.410;0.450;0.480;0.520;0.550;0.580;0.610;0.640;0.680;0.710;0.750;0.790;0.820;0.900;0.970;0.970;0.970;0.970;0.970;0.970;0.970;0.970;0.970;0.970;0.970;0.970;0.970
10;0.000;0.250;0.500;0.750;0.820;0.900;0.970;1.030;1.100;1.160;1.230;1.290;1.350;1.430;1.500;1.570;1.650;1.800;1.950;1.950;1.950;1.950;1.950;1.950;1.950;1.950;1.950;1.950;1.950;1.950;1.950
15;0.000;0.380;0.750;1.130;1.240;1.350;1.450;1.550;1.650;1.740;1.840;1.930;2.020;2.140;2.250;2.360;2.480;2.700;2.920;2.920;2.920;2.920;2.920;2.920;2.920;2.920;2.920;2.920;2.920;2.920;2.920
20;0.000;0.500;1.000;1.500;1.650;1.800;1.930;2.070;2.200;2.330;2.450;2.580;2.700;2.850;3.000;3.150;3.300;3.600;3.900;3.900;3.900;3.900;3.900;3.900;3.900;3.900;3.900;3.900;3.900;3.900;3.900
25;0.000;0.630;1.250;1.850;2.130;2.400;2.600;2.800;3.000;3.150;3.300;3.450;3.600;3.760;3.920;4.090;4.250;4.550;4.850;4.850;4.850;4.850;4.850;4.850;4.850;4.850;4.850;4.850;4.850;4.850;4.850
30;0.000;0.750;1.500;2.200;2.600;3.000;3.270;3.530;3.800;3.970;4.150;4.330;4.500;4.670;4.850;5.030;5.200;5.500;5.800;5.800;5.800;5.800;5.800;5.800;5.800;5.800;5.800;5.800;5.800;5.800;5.800
35;0.000;1.030;2.060;3.200;3.930;4.670;4.930;5.200;5.470;5.600;5.730;5.870;6.000;6.120;6.240;6.360;6.480;6.750;7.020;7.020;7.020;7.020;7.020;7.020;7.020;7.020;7.020;7.020;7.020;7.020;7.020
40;0.000;1.500;3.000;4.500;5.850;7.200;7.400;7.600;7.800;7.920;8.050;8.180;8.300;8.430;8.550;8.680;8.800;8.900;9.000;9.000;9.000;9.000;9.000;9.000;9.000;9.000;9.000;9.000;9.000;9.000;9.000
45;0.000;1.710;3.420;4.970;6.210;7.450;7.680;7.920;8.150;8.310;8.460;8.620;8.780;8.900;9.030;9.150;9.280;9.410;9.550;9.550;9.550;9.550;9.550;9.550;9.550;9.550;9.550;9.550;9.550;9.550;9.550
50;0.000;1.930;3.850;5.450;6.570;7.700;7.970;8.230;8.500;8.690;8.880;9.060;9.250;9.380;9.500;9.630;9.750;9.930;10.100;10.100;10.100;10.100;10.100;10.100;10.100;10.100;10.100;10.100;10.100;10.100;10.100
55;0.000;2.140;4.280;5.930;6.940;7.950;8.250;8.550;8.850;9.070;9.290;9.510;9.720;9.850;9.970;10.100;10.220;10.440;10.650;10.650;10.650;10.650;10.650;10.650;10.650;10.650;10.650;10.650;10.650;10.650;10.650
60;0.000;2.350;4.700;6.400;7.300;8.200;8.530;8.870;9.200;9.450;9.700;9.950;10.200;10.320;10.450;10.570;10.700;10.950;11.200;11.200;11.200;11.200;11.200;11.200;11.200;11.200;11.200;11.200;11.200;11.200;11.200
65;0.000;2.380;4.750;6.580;7.540;8.500;8.830;9.170;9.500;9.750;10.000;10.250;10.500;10.640;10.770;10.910;11.050;11.320;11.580;11.580;11.580;11.580;11.580;11.580;11.580;11.580;11.580;11.580;11.580;11.580;11.580
70;0.000;2.400;4.800;6.770;7.780;8.800;9.130;9.470;9.800;10.050;10.300;10.550;10.800;10.950;11.100;11.250;11.400;11.680;11.970;11.970;11.970;11.970;11.970;11.970;11.970;11.970;11.970;11.970;11.970;11.970;11.970
75;0.000;2.420;4.850;6.950;8.030;9.100;9.430;9.770;10.100;10.350;10.600;10.850;11.100;11.260;11.430;11.590;11.750;12.050;12.350;12.350;12.350;12.350;12.350;12.350;12.350;12.350;12.350;12.350;12.350;12.350;12.350
80;0.000;2.450;4.900;7.130;8.270;9.400;9.730;10.070;10.400;10.650;10.900;11.150;11.400;11.570;11.750;11.930;12.100;12.420;12.730;12.730;12.730;12.730;12.730;12.730;12.730;12.730;12.730;12.730;12.730;12.730;12.730
85;0.000;2.480;4.950;7.320;8.510;9.700;10.030;10.370;10.700;10.950;11.200;11.450;11.700;11.890;12.070;12.260;12.450;12.780;13.120;13.120;13.120;13.120;13.120;13.120;13.120;13.120;13.120;13.120;13.120;13.120;13.120
90;0.000;2.500;5.000;7.500;8.750;10.000;10.330;10.670;11.000;11.250;11.500;11.750;12.000;12.200;12.400;12.600;12.800;13.150;13.500;13.500;13.500;13.500;13.500;13.500;13.500;13.500;13.500;13.500;13.500;13.500;13.500
95;0.000;2.580;5.170;7.500;8.720;9.950;10.360;10.760;11.170;11.440;11.720;11.990;12.270;12.490;12.720;12.940;13.170;13.540;13.920;13.920;13.920;13.920;13.920;13.920;13.920;13.920;13.920;13.920;13.920;13.920;13.920
100;0.000;2.670;5.330;7.500;8.700;9.900;10.380;10.860;11.330;11.630;11.930;12.230;12.530;12.780;13.030;13.280;13.530;13.930;14.330;14.330;14.330;14.330;14.330;14.330;14.330;14.330;14.330;14.330;14.330;14.330;14.330
105;0.000;2.750;5.500;7.500;8.680;9.850;10.400;10.950;11.500;11.820;12.150;12.470;12.800;13.070;13.350;13.630;13.900;14.320;14.750;14.750;14.750;14.750;14.750;14.750;14.750;14.750;14.750;14.750;14.750;14.750;14.750
110;0.000;2.670;5.330;7.330;8.570;9.800;10.420;11.040;11.670;12.020;12.370;12.720;13.070;13.370;13.670;13.970;14.270;14.720;15.170;15.170;15.170;15.170;15.170;15.170;15.170;15.170;15.170;15.170;15.170;15.170;15.170
115;0.000;2.580;5.170;7.170;8.460;9.750;10.440;11.140;11.830;12.210;12.580;12.960;13.330;13.660;13.980;14.310;14.630;15.110;15.580;15.580;15.580;15.580;15.580;15.580;15.580;15.580;15.580;15.580;15.580;15.580;15.580
120;0.000;2.500;5.000;7.000;8.350;9.700;10.470;11.230;12.000;12.400;12.800;13.200;13.600;13.950;14.300;14.650;15.000;15.500;16.000;16.000;16.000;16.000;16.000;16.000;16.000;16.000;16.000;16.000;16.000;16.000;16.000
125;0.000;2.420;4.830;6.630;7.970;9.300;10.150;11.000;11.850;12.340;12.820;13.310;13.800;14.270;14.730;15.200;15.670;16.250;16.830;16.830;16.830;16.830;16.830;16.830;16.830;16.830;16.830;16.830;16.830;16.830;16.830
130;0.000;2.330;4.670;6.270;7.580;8.900;9.830;10.770;11.700;12.270;12.850;13.430;14.000;14.580;15.170;15.750;16.330;17.000;17.670;17.670;17.670;17.670;17.670;17.670;17.670;17.670;17.670;17.670;17.670;17.670;17.670
135;0.000;2.250;4.500;5.900;7.200;8.500;9.420;10.350;11.270;12.010;12.740;13.470;14.200;14.900;15.600;16.300;17.000;17.750;18.500;18.500;18.500;18.500;18.500;18.500;18.500;18.500;18.500;18.500;18.500;18.500;18.500
140;0.000;2.170;4.330;5.530;6.820;8.100;9.020;9.930;10.850;11.630;12.410;13.190;13.970;14.680;15.400;16.120;16.830;17.770;18.700;18.700;18.700;18.700;18.700;18.700;18.700;18.700;18.700;18.700;18.700;18.700;18.700
145;0.000;2.080;4.170;5.170;6.430;7.700;8.610;9.520;10.430;11.250;12.080;12.910;13.730;14.470;15.200;15.930;16.670;17.830;19.000;19.000;19.000;19.000;19.000;19.000;19.000;19.000;19.000;19.000;19.000;19.000;19.000
150;0.000;2.000;4.000;4.800;6.050;7.300;8.200;9.100;10.000;10.880;11.750;12.630;13.500;14.250;15.000;15.750;16.500;17.600;18.700;18.700;18.700;18.700;18.700;18.700;18.700;18.700;18.700;18.700;18.700;18.700;18.700
155;0.000;1.880;3.750;4.630;5.820;7.020;7.920;8.830;9.730;10.590;11.440;12.300;13.150;13.880;14.600;15.330;16.050;17.200;18.350;18.350;18.350;18.350;18.350;18.350;18.350;18.350;18.350;18.350;18.350;18.350;18.350
160;0.000;1.750;3.500;4.470;5.600;6.730;7.640;8.560;9.470;10.300;11.130;11.970;12.800;13.500;14.200;14.900;15.600;16.800;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000
165;0.000;1.630;3.250;4.300;5.380;6.450;7.370;8.280;9.200;10.010;10.820;11.640;12.450;13.130;13.800;14.470;15.150;16.070;17.000;17.000;17.000;17.000;17.000;17.000;17.000;17.000;17.000;17.000;17.000;17.000;17.000
170;0.000;1.500;3.000;4.130;5.150;6.170;7.090;8.010;8.930;9.720;10.520;11.310;12.100;12.750;13.400;14.050;14.700;15.350;16.000;16.000;16.000;16.000;16.000;16.000;16.000;16.000;16.000;16.000;16.000;16.000;16.000
175;0.000;1.380;2.750;3.970;4.920;5.880;6.810;7.740;8.670;9.440;10.210;10.980;11.750;12.380;13.000;13.630;14.250;14.880;15.500;15.500;15.500;15.500;15.500;15.500;15.500;15.500;15.500;15.500;15.500;15.500;15.500
180;0.000;1.270;2.550;3.830;4.740;5.660;6.590;7.520;8.450;9.210;9.960;10.720;11.470;12.080;12.680;13.290;13.890;14.500;15.100;15.100;15.100;15.100;15.100;15.100;15.100;15.100;15.100;15.100;15.100;15.100;15.100
