TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
5;0.000;0.220;0.440;0.620;0.770;0.910;0.950;0.980;1.010;1.020;1.030;1.030;1.040;1.000;0.930;0.860;0.780;0.710;0.640;0.560;0.480;0.390;0.290;0.190;0.100;0.000;0.000;0.000;0.000;0.000;0.000
10;0.000;0.440;0.890;1.250;1.530;1.810;1.880;1.950;2.000;2.030;2.050;2.060;2.070;2.010;1.860;1.710;1.560;1.410;1.270;1.120;0.950;0.780;0.580;0.390;0.200;0.000;0.000;0.000;0.000;0.000;0.000
15;0.000;0.660;1.330;1.870;2.300;2.720;2.830;2.940;3.010;3.040;3.080;3.100;3.110;3.010;2.790;2.570;2.350;2.130;1.900;1.680;1.420;1.170;0.880;0.580;0.290;0.000;0.000;0.000;0.000;0.000;0.000
20;0.000;0.890;1.780;2.500;3.060;3.620;3.760;3.910;4.000;4.050;4.100;4.120;4.140;4.000;3.710;3.420;3.130;2.840;2.540;2.250;1.910;1.560;1.170;0.780;0.390;0.000;0.000;0.000;0.000;0.000;0.000
25;0.000;1.110;2.220;3.120;3.830;4.530;4.710;4.890;5.010;5.070;5.130;5.150;5.180;5.010;4.640;4.280;3.910;3.540;3.170;2.810;2.380;1.950;1.460;0.980;0.490;0.000;0.000;0.000;0.000;0.000;0.000
30;0.000;1.330;2.660;3.750;4.590;5.430;5.650;5.870;6.010;6.080;6.150;6.180;6.210;6.010;5.570;5.130;4.690;4.250;3.810;3.370;2.850;2.340;1.750;1.170;0.580;0.000;0.000;0.000;0.000;0.000;0.000
35;0.000;1.550;3.100;4.350;5.300;6.240;6.460;6.670;6.810;6.870;6.930;6.940;6.950;6.780;6.420;6.060;5.700;5.340;4.970;4.610;4.000;3.400;2.550;1.700;0.850;0.000;0.000;0.000;0.000;0.000;0.000
40;0.000;1.750;3.540;4.990;6.090;7.140;7.210;7.350;7.430;7.490;7.560;7.560;7.580;7.450;7.160;6.800;6.500;6.210;5.920;5.630;4.960;4.280;3.210;2.140;1.070;0.000;0.000;0.000;0.000;0.000;0.000
45;0.000;2.060;4.150;5.780;6.930;8.030;8.070;8.190;8.050;8.120;8.190;8.170;8.210;8.120;7.890;7.540;7.310;7.080;6.870;6.650;5.910;5.160;3.870;2.580;1.290;0.000;0.000;0.000;0.000;0.000;0.000
50;0.000;2.210;4.450;6.150;7.250;8.290;8.380;8.550;8.670;8.740;8.810;8.790;8.840;8.790;8.630;8.280;8.110;7.940;7.810;7.680;6.860;6.030;4.520;3.010;1.510;0.000;0.000;0.000;0.000;0.000;0.000
55;0.000;2.360;4.770;6.520;7.570;8.550;8.690;8.910;9.050;9.140;9.220;9.190;9.250;9.270;9.250;9.020;8.910;8.810;8.750;8.700;7.810;6.910;5.180;3.450;1.730;0.000;0.000;0.000;0.000;0.000;0.000
60;0.000;2.520;5.090;6.890;7.880;8.810;9.000;9.260;9.450;9.550;9.640;9.620;9.690;9.730;9.740;9.760;9.720;9.680;9.700;9.720;8.760;7.790;5.840;3.890;1.950;0.000;0.000;0.000;0.000;0.000;0.000
65;0.000;2.560;5.160;7.030;8.010;8.920;9.210;9.540;9.760;9.870;9.970;9.960;10.040;10.100;10.140;10.180;10.150;10.130;10.200;10.260;9.260;8.260;6.200;4.130;2.060;0.000;0.000;0.000;0.000;0.000;0.000
70;0.000;2.670;5.340;7.180;8.140;9.030;9.430;9.810;10.070;10.190;10.300;10.300;10.400;10.470;10.530;10.590;10.590;10.590;10.640;10.700;9.650;8.600;6.450;4.300;2.150;0.000;0.000;0.000;0.000;0.000;0.000
75;0.000;2.730;5.470;7.280;8.240;9.130;9.610;10.080;10.380;10.510;10.650;10.780;10.900;11.000;11.080;11.160;11.190;11.210;11.290;11.360;10.250;9.150;6.870;4.580;2.290;0.000;0.000;0.000;0.000;0.000;0.000
80;0.000;2.780;5.560;7.400;8.370;9.260;9.810;10.350;10.710;10.870;11.020;11.190;11.350;11.450;11.500;11.670;11.680;11.690;11.740;11.800;10.750;9.700;7.230;4.760;2.450;0.140;0.120;0.090;0.060;0.030;0.030
85;0.000;2.750;5.500;7.470;8.480;9.420;10.010;10.600;10.590;11.220;11.420;11.660;11.880;12.010;12.040;12.170;12.170;12.160;12.200;12.240;11.250;10.260;7.740;5.220;3.030;0.850;0.680;0.510;0.340;0.170;0.170
