Wind_Velocity 6 8 10 12 14 16 20
Beat_Angles 45.2° 43.5° 42.0° 41.4° 41.9° 41.7° 39.9°
Beat_VMG 2.99 3.76 4.36 4.83 5.24 5.60 5.97
52° 4.69 5.78 6.60 7.30 7.88 8.23 8.55
60° 5.05 6.14 6.98 7.71 8.19 8.47 8.79
75° 5.38 6.45 7.33 8.03 8.42 8.66 9.04
90° 5.44 6.63 7.66 8.33 8.69 8.91 9.11
110° 5.45 6.66 7.70 8.35 8.71 9.01 9.65
120° 5.23 6.43 7.45 8.20 8.61 8.89 9.49
135° 4.61 5.79 6.75 7.64 8.26 8.62 9.20
150° 3.86 5.01 5.99 6.84 7.63 8.21 8.85
Gybe_Angles 145.8° 149.2° 152.6° 155.7° 157.8° 171.3° 180.0°
Run_VMG 3.34 4.34 5.20 5.95 6.66 7.35 8.40
