Wind_speed,6,8,10,12,14,16,20
Beat_angle,44.3,43.2,40.5,39.3,38.2,38.2,39
Beat_VMG:3.43,4.23,4.75,4.98,5.11,5.16,5.14
52,5.32,6.43,6.93,7.13,7.27,7.36,7.47
60,5.70,6.7,7.20,7.50,7.69,7.81,8.00
70,5.99,6.86,7.45,7.95,8.21,8.35,8.61
75,6.05,6.89,7.52,8.15,8.46,8.64,8.89
80,6.08,6.90,7.52,8.27,8.70,8.94,9.19
90,6.24,7.12,7.44,8.19,9.06,9.53,9.97
110,6.22,7.13,8.08,8.76,9.36,9.84,11.13
120,5.97,7.07,8.01,9.13,9.73,10.25,11.33
135,5.24,6.52,7.25,8.09,9.17,10.44,12.67
150,4.21,5.40,6.43,7.12,7.80,8.63,10.69
165,3.40,4.47,5.46,6.39,7.00,7.58,9.07
180,3.10,4.10,5.03,5.94,6.68,7.19,8.44
Run_angle,141.7,143.7,148.3,157.7,156.6,142.1,140.2
Run_VMG,3.75,4.76,5.57,6.26,6.79,7.52,10.05
