TWS	6	8	10	12	14	16	20
Beat_TWA	44.0°	43.2°	40.5°	39.0°	38.1°	38.0°	39.2°
Beat_VMG	3.77	4.66	5.22	5.53	5.72	5.83	5.72
52°	5.84	7.03	7.72	8.02	8.2	8.32	8.29
60°	6.26	7.34	8.03	8.35	8.54	8.66	8.7
70°	6.54	7.53	8.21	8.67	8.88	9.02	9.17
75°	6.6	7.68	8.23	8.75	9.03	9.19	9.38
80°	6.62	7.89	8.28	8.77	9.17	9.36	9.59
90°	7	8.12	8.52	8.76	9.13	9.61	10.03
110°	6.99	8.03	8.78	9.2	9.5	9.73	9.94
120°	6.7	7.74	8.48	9.18	9.76	10.04	10.72
135°	5.78	7.06	7.89	8.51	9.11	9.82	11.93
150°	4.66	5.97	7.04	7.79	8.38	8.91	10.09
165°	3.79	4.99	6.09	7.03	7.74	8.31	9.33
180°	3.47	4.59	5.64	6.6	7.37	7.99	8.98
Gybe_TWA	141.4°	144.4°	151.1°	157.9°	165.3°	169.8°	171.1°
Run_VMG	4.15	5.23	6.09	6.82	7.48	8.05	9.03
