TWS	4	6	8	10	12	14	16	20	25	30	35
UpTwa	46.7	44.4	42.8	40.2	38.4	37.5	37.1	36.9	37.4	38.6	40.4
UpVmg	2.35	3.35	4.01	4.42	4.66	4.80	4.89	4.98	5.01	4.96	4.84
52	3.74	5.2	6.09	6.45	6.64	6.76	6.85	6.98	7.07	7.1	7.08
60	4.07	5.56	6.38	6.7	6.87	6.99	7.09	7.23	7.34	7.4	7.42
70	4.32	5.82	6.57	6.92	7.09	7.22	7.33	7.5	7.66	7.75	7.81
80	4.39	5.89	6.63	7.03	7.27	7.41	7.54	7.75	7.93	8.06	8.13
100	4.54	6.09	6.8	7.12	7.32	7.52	7.77	8.07	8.26	8.4	8.6
110	4.4	5.96	6.73	7.17	7.44	7.64	7.83	8.16	8.52	8.88	9.21
120	4.05	5.61	6.54	7.07	7.47	7.8	8.03	8.44	8.97	9.5	10.06
135	3.3	4.82	6	6.69	7.17	7.6	8.02	8.88	9.88	10.82	11.71
180	1.91	2.9	3.87	4.77	5.6	6.28	6.78	7.55	8.53	10	12.01
DnTwa	137.3	140.4	143.5	151.5	162.3	166.6	168.7	168.2	161.1	159.2	160.5
DnVmg	2.34	3.46	4.39	5.19	5.91	6.46	6.90	7.68	8.90	10.90	13.42
