!Expedition polar
4	30	1.86	46.8	3.44	50	3.64	60	4.12	70	4.40	80	4.53	90	4.52	100	4.34	110	4.25	120	4.04	130	3.67	135	3.45	140	3.20	141.3	3.17	180	2.00
6	30	2.86	45.0	4.74	50	5.13	60	5.64	70	5.93	80	6.05	90	6.04	100	5.96	110	5.91	120	5.65	130	5.25	135	5.01	140	4.74	143.9	4.52	180	3.03
8	30	3.62	43.1	5.57	50	6.11	60	6.56	70	6.78	80	6.86	90	6.86	100	6.94	110	6.87	120	6.70	130	6.41	135	6.21	140	5.97	147.3	5.54	180	4.03
10	30	4.14	41.8	6.05	50	6.67	60	7.05	70	7.25	80	7.34	90	7.42	100	7.48	110	7.43	120	7.30	130	7.10	135	6.96	140	6.80	150.9	6.27	180	4.97
12	30	4.55	40.8	6.27	50	6.90	60	7.30	70	7.57	80	7.71	90	7.74	100	7.85	110	7.88	120	7.79	130	7.60	135	7.48	150	6.96	158.7	6.57	180	5.81
14	30	4.79	40.0	6.37	50	7.03	60	7.42	70	7.74	80	7.98	90	8.08	100	8.05	110	8.21	120	8.20	130	8.04	140	7.78	160	7.07	166.8	6.87	180	6.52
16	30	4.89	39.6	6.42	50	7.11	60	7.52	70	7.85	80	8.13	90	8.35	100	8.35	110	8.43	120	8.59	130	8.46	140	8.18	160	7.52	169.3	7.27	180	7.03
20	30	4.68	40.4	6.49	50	7.18	60	7.64	70	8.01	80	8.33	90	8.67	100	8.94	110	8.90	120	9.14	130	9.34	140	9.05	160	8.28	171.0	8.00	180	7.81
25	30	4.45	42.5	6.53	50	7.17	60	7.70	70	8.12	80	8.52	90	8.94	100	9.31	110	9.68	120	9.70	130	10.37	140	10.52	160	9.32	168.8	9.01	180	8.68
30	30	3.29	45.6	6.55	50	7.03	60	7.67	70	8.15	80	8.62	90	9.10	100	9.57	110	10.15	120	10.71	130	11.26	140	12.3	150	10.87	158.5	10.97	180	9.73
