Best_Boatspeeds_kt	4	6	8	10	12	14	16	20	25	30	35
30	2.16	3.3	4.21	4.9	5.4	5.71	5.9	5.95	5.58	5	4.25
33	2.49	3.76	4.76	5.51	5.99	6.28	6.45	6.53	6.32	5.68	4.64
36	2.79	4.16	5.22	6	6.44	6.71	6.88	6.98	6.85	6.43	5.39
39	3.06	4.51	5.62	6.39	6.81	7.06	7.2	7.3	7.24	6.97	6.32
42	3.31	4.82	5.95	6.71	7.1	7.32	7.43	7.53	7.52	7.35	6.94
45	3.53	5.1	6.23	6.97	7.33	7.51	7.62	7.73	7.74	7.63	7.37
50	3.85	5.48	6.6	7.29	7.61	7.77	7.88	8.01	8.06	8.01	7.85
60	4.32	6	7.06	7.65	8	8.19	8.31	8.48	8.59	8.61	8.55
70	4.59	6.28	7.27	7.82	8.23	8.51	8.66	8.86	9.03	9.11	9.11
80	4.69	6.38	7.34	7.89	8.33	8.68	8.94	9.22	9.48	9.65	9.73
90	4.64	6.33	7.44	8.05	8.32	8.71	9.06	9.6	9.96	10.22	10.4
100	4.53	6.44	7.59	8.2	8.53	8.75	9.02	9.78	10.46	10.92	11.27
110	4.6	6.47	7.57	8.2	8.66	8.97	9.22	9.68	10.74	11.69	12.28
120	4.45	6.27	7.4	8.07	8.62	9.09	9.49	10.07	10.83	11.99	13.36
130	4.06	5.83	7.09	7.83	8.41	8.93	9.47	10.48	11.62	12.77	13.99
135	3.81	5.54	6.86	7.67	8.27	8.78	9.31	10.47	12.05	13.44	14.99
140	3.55	5.22	6.58	7.48	8.09	8.61	9.11	10.25	12.17	14.13	16.08
150	3.04	4.55	5.88	6.95	7.64	8.18	8.65	9.63	11.3	13.78	17.13
160	2.54	3.85	5.07	6.17	7.07	7.69	8.21	9.12	10.47	12.49	15.36
170	2.26	3.43	4.56	5.62	6.57	7.32	7.87	8.78	9.95	11.61	13.9
180	2.11	3.2	4.26	5.27	6.2	7.01	7.6	8.52	9.59	10.95	12.87
Dn.Bt	140	142.7	146.3	150.4	155.2	163.7	167.1	169.1	161.1	149.6	151.6
Dn.Vmg_kts	2.72	4.01	5.12	6.02	6.68	7.24	7.76	8.65	9.84	11.93	14.87
