twa\tws;0;6;8;10;12;14;16;20
0;0;0;0;0;0;0;0;0
45;0;4,24;2,5;3;3,5;4;4,2;4,3
46;0;4,32;5;5,7;6,3;6,5;6,7;6,7
52;0;4,71;5,60;6,34;6,86;7,11;7,24;7,33
60;0;5,06;5,98;6,75;7,16;7,38;7,50;7,60
75;0;5,39;6,37;7,05;7,39;7,61;7,79;8,04
90;0;5,36;6,33;7,02;7,37;7,60;7,81;8,19
110;0;4,76;5,74;6,61;7,15;7,46;7,71;8,21
120;0;4,45;5,42;6,26;6,95;7,33;7,61;8,11
135;0;3,85;4,87;5,68;6,44;7,01;7,36;7,85
150;0;3,26;4,25;5,08;5,79;6,48;7,01;7,60
170;0;2,90;3,80;4,60;5,30;6,00;6,60;7,40
180;0;2,50;3,00;4,00;5,00;5,50;6,00;7,00
