WindVelocity 6 8 10 12 14 16 20
BeatAngles 43.5° 42.5° 41.5° 39.5° 38.2° 37.2° 37.2°
BeatVMG 3.69 4.44 5.05 5.38 5.57 5.69 5.75
52° 5.67 6.76 7.42 7.67 7.79 7.87 7.95
60° 6.03 7.10 7.63 7.89 8.02 8.10 8.19
75° 6.36 7.34 7.80 8.13 8.39 8.54 8.68
90° 6.32 7.30 7.77 8.11 8.46 8.81 9.21
110° 5.85 7.10 7.75 8.20 8.67 8.95 9.40
120° 5.66 6.90 7.62 8.07 8.54 9.05 9.74
135° 5.05 6.23 7.18 7.72 8.12 8.57 9.62
150° 4.21 5.33 6.33 7.18 7.70 8.09 8.99
GybeAngles 143.5° 148.8° 152.4° 159.1° 173.6° 178.2° 178.3°
RunVMG 3.65 4.62 5.49 6.30 7.05 7.60 8.40
