WindVelocity 6 8 10 12 14 16 20
BeatAngles 44.3° 43.8° 42.0° 39.4° 38.4° 38.2° 39.7°
BeatVMG 2.92 3.58 4.10 4.44 4.55 4.59 4.51
52° 4.54 5.50 6.02 6.33 6.48 6.55 6.57
60° 4.87 5.77 6.20 6.58 6.82 6.93 6.98
75° 5.20 6.06 6.39 6.84 7.35 7.63 7.79
90° 5.62 6.30 6.70 7.06 7.46 7.97 8.84
110° 5.55 6.33 7.11 7.89 8.32 8.68 9.59
120° 5.38 6.25 6.85 7.61 8.58 9.13 10.38
135° 4.70 5.77 6.38 6.98 7.70 8.63 11.80
150° 3.94 4.96 5.77 6.32 6.84 7.45 9.78
GybeAngles 143.3° 144.6° 153.8° 161.2° 169.8° 160.2° 136.2°
RunVMG 3.41 4.29 5.01 5.63 6.07 6.51 8.47

