WindVelocity 6 8 10 12 14 16 20
BeatAngles 43.5° 42.4° 40.8° 39.2° 38.2° 37.7° 39.1°
BeatVMG 3.11 3.77 4.28 4.52 4.64 4.71 4.66
52° 4.78 5.73 6.22 6.42 6.53 6.59 6.63
60° 5.10 6.00 6.40 6.64 6.79 6.87 6.94
75° 5.39 6.19 6.56 6.91 7.22 7.41 7.55
90° 5.72 6.42 6.64 6.95 7.29 7.69 8.22
110° 5.66 6.46 7.08 7.52 7.78 8.03 8.63
120° 5.48 6.40 6.90 7.51 8.03 8.38 9.18
135° 4.83 5.91 6.53 7.02 7.61 8.31 10.24
150° 4.05 5.06 5.90 6.47 6.91 7.42 8.90
GybeAngles 143.7° 145.1° 150.5° 159.7° 169.8° 170.9° 153.5°
RunVMG 3.51 4.38 5.11 5.76 6.21 6.58 7.54
