TWS	6	8	10	12	14	16	20
BeatAngles	42.6	41.3	39.6	37.4	36.0	35.3	35.8
BeatVMG	3.38	4.14	4.74	5.05	5.20	5.29	5.30
52?	5.15	6.21	6.77	7.01	7.14	7.21	7.29
60?	5.46	6.47	6.93	7.22	7.40	7.51	7.60
75?	5.72	6.66	7.06	7.45	7.82	8.06	8.25
90?	6.06	6.91	7.15	7.47	7.85	8.29	8.96
110?	5.99	6.91	7.58	8.10	8.42	8.69	9.33
120?	5.79	6.86	7.41	8.07	8.65	9.03	9.87
135?	5.08	6.30	6.98	7.50	8.14	8.92	10.89
150?	4.24	5.31	6.25	6.90	7.35	7.90	9.45
GybeAngles	143.0	144.6	147.6	157.5	165.9	170.1	152.9
RunVMG	3.67	4.60	5.41	6.11	6.58	6.98	8.03

