TWSknop	6	8	10	12	14	16	20
kryssvinkel	44.8	44.2	42.6	41.1	40.2	39.8	39.8
kryssvmg	3.172	3.783	4.139	4.356	4.497	4.583	4.637
52	4.96	5.841	6.24	6.457	6.598	6.688	6.766
60	5.336	6.159	6.553	6.754	6.886	6.975	7.064
75	5.679	6.43	6.836	7.098	7.265	7.371	7.506
90	5.732	6.563	6.998	7.276	7.449	7.579	7.823
110	5.532	6.419	6.93	7.301	7.609	7.862	8.206
120	5.175	6.19	6.773	7.193	7.542	7.852	8.355
135	4.487	5.607	6.372	6.872	7.26	7.611	8.24
150	3.766	4.799	5.732	6.397	6.866	7.242	7.905
gippvinkel	144.3	148.6	153	164.5	173.1	173.7	174
lansvmg	3.262	4.156	4.973	5.702	6.29	6.753	7.452
