!TWS	TWA1	TBS1	TWA3	TBS3	TWA4	TBS4	TWA5	TBS5	TWA6	TBS6	TWA7	TBS7	TWA8	TBS8	TWA9	TBS9	TWA10	TBS10	TWA11	TBS11	TWA12	TBS12	TWA13	TBS13	TWA14	TBS14	TWA15	TBS15	TWA16	TBS16	TWA17	TBS17	TWA18	TBS18	TWA19	TBS19
4	40	3.9	45	4.1	50	4.3	55	4.5	60	4.6	70	4.7	80	4.7	90	4.6	100	4.5	110	4.3	120	4	130	3.7	140	3.5	150	3.3	160	3.2	170	3.1	180	3.1		
6	40	3.2	45	3.5	50	3.8	55	4	60	4.2	70	4.4	80	4.4	90	4.3	100	4.1	110	3.7	120	3.3	130	3	140	2.7	150	2.5	160	2.4	170	2.3	180	2.3		
8	40	4	45	4.4	50	4.7	55	4.9	60	5	70	5.2	80	5.2	90	5.1	100	4.9	110	4.6	120	4.2	130	3.8	140	3.5	150	3.3	160	3.2	170	3.1	180	3		
10	40	4.7	45	5	50	5.3	55	5.5	60	5.6	70	5.7	80	5.7	90	5.7	100	5.5	110	5.2	120	4.9	130	4.5	140	4.2	150	4	160	3.9	170	3.8	180	3.7		
12	40	5.2	45	5.5	50	5.7	55	5.9	60	6	70	6.1	80	6.1	90	6.1	100	5.9	110	5.7	120	5.4	130	5.1	140	4.9	150	4.7	160	4.5	170	4.4	180	4.3		
14	40	5.5	45	5.9	50	6.1	55	6.3	60	6.4	70	6.5	80	6.5	90	6.4	100	6.2	110	6	120	5.8	130	5.6	140	5.4	150	5.2	160	5.1	170	5	180	4.9		
16	40	5.8	45	6.1	50	6.3	55	6.5	60	6.7	70	6.8	80	6.8	90	6.7	100	6.5	110	6.3	120	6.1	130	5.9	140	5.8	150	5.6	160	5.5	170	5.4	180	5.4		
18	40	5.8	45	6.1	50	6.4	55	6.6	60	6.8	70	7	80	7.2	90	7.1	100	6.9	110	6.6	120	6.4	130	6.2	140	6.1	150	6	160	5.9	170	5.8	180	5.8		
20	40	5.9	45	6.2	50	6.5	55	6.7	60	6.9	70	7.3	80	7.6	90	7.5	100	7.3	110	7	120	6.7	130	6.5	140	6.4	150	6.3	160	6.2	170	6.1	180	6.1		
22	40	5.9	45	6.1	50	6.4	55	6.6	60	6.8	70	7.2	80	7.6	90	7.5	100	7.3	110	7	120	6.8	130	6.6	140	6.5	150	6.4	160	6.3	170	6.3	180	6.2		
24	40	5.8	45	6.1	50	6.3	55	6.6	60	6.8	70	7.2	80	7.6	90	7.5	100	7.3	110	7	120	6.8	130	6.6	140	6.5	150	6.5	160	6.4	170	6.4	180	6.3		
30	40	5.6	45	5.9	50	6.2	55	6.4	60	6.6	70	7.1	80	7.5	90	7.5	100	7.3	110	7.1	120	6.9	130	6.8	140	6.7	150	6.7	160	6.7	170	6.7	180	6.7		
