WindVelocity 6 8 10 12 14 16 20
BeatAngles 42.5° 41.2° 39.0° 37.7° 36.9° 36.8° 38.3°
BeatVMG 3.27 3.94 4.34 4.52 4.61 4.65 4.57
52° 4.98 5.82 6.16 6.30 6.38 6.42 6.44
60° 5.28 6.02 6.33 6.51 6.62 6.68 6.74
75° 5.53 6.14 6.49 6.83 7.09 7.22 7.30
90° 5.54 6.22 6.49 6.87 7.27 7.65 8.00
110° 5.47 6.22 6.74 7.29 7.61 7.93 8.47
120° 5.31 6.13 6.61 7.20 7.88 8.30 8.97
135° 4.75 5.75 6.27 6.71 7.28 7.96 9.81
150° 3.95 4.95 5.80 6.31 6.74 7.27 8.70
GybeAngles 138.5° 150.2° 157.6° 174.6° 178.7° 177.8° 175.2°
RunVMG 3.42 4.28 5.08 5.80 6.28 6.70 7.76
