TWA\TWS;0;4;8;12;16;20;25;30;35;55;60
0;0;0;0;0;0;0;0;0;0;0;0
33;0;2.24;4.08;3.84;4.88;4.96;4.8;4.4;4.32;0;0
35;0;2.4;4.32;4.88;5.12;5.12;5.04;4.72;4.64;0;0
40;0;2.72;4.72;5.28;5.44;5.52;5.44;5.28;5.2;0;0
50;0;3.28;5.28;5.68;5.84;5.92;6;5.92;5.84;0;0
60;0;3.68;5.52;6;6.16;6.32;6.48;6.48;6.32;0;0
70;0;3.84;5.68;6.24;6.56;6.72;6.96;7.04;6.8;0;0
80;0;3.92;5.76;6.48;6.88;7.2;7.52;7.84;7.6;0;0
90;0;4;5.92;6.64;7.2;7.76;8.32;8.8;8.64;0;0
100;0;4.08;6;6.8;7.44;8.32;9.12;9.92;9.84;0;0
110;0;4;6;6.88;7.76;8.72;9.92;11.12;10.96;0;0
120;0;3.76;5.92;6.96;8.16;9.12;10.8;12.32;12;0;0
130;0;3.44;5.68;6.88;8.08;9.6;11.52;13.04;12.56;0;0
140;0;3.04;5.36;6.56;8.08;9.6;12.24;13.68;13.2;0;0
150;0;2.56;4.96;6.16;7.36;9.28;12.32;14;13.6;0;0
160;0;2.16;4.32;5.76;6.8;8.24;10.8;13.2;12.8;0;0
170;0;1.92;3.84;5.36;6.32;7.52;9.6;12.16;11.44;0;0
180;0;1.76;3.52;5.04;6.08;7.04;8.72;10.96;9.6;0;0
