!Expedition polar
4	30	1.87	50.2	4.58	55	5.01	70	6.01	90	6.45	110	6.00	130	4.85	136.26	4.41	180	2.10
6	30	3.60	44.25	6.32	55	7.30	70	8.20	90	8.60	110	8.30	130	7.25	136.67	6.62	180	3.50
8	30	5.50	41.81	7.83	55	9.00	70	9.65	90	9.90	110	9.70	130	8.96	140.73	8.00	180	4.69
10	30	6.20	37.97	8.08	55	9.47	70	10.20	90	10.70	110	10.60	130	10.01	145.13	8.82	180	5.84
12	30	6.80	39.14	8.72	55	10.00	70	10.70	90	11.25	110	11.30	130	10.70	152.74	9.41	180	7.32
14	30	7.30	37.74	9.15	55	10.32	70	11.05	90	11.78	110	12.10	130	11.98	157.25	10.03	180	8.30
16	30	7.60	36.89	9.11	55	10.53	70	11.44	90	12.50	110	12.80	130	12.70	159.1	10.84	180	9.39
18	30	7.90	37.23	9.20	55	10.72	70	11.73	90	13.06	110	13.70	130	13.90	156.38	11.95	180	10.08
20	30	8.08	37.15	9.31	55	10.87	70	11.99	90	13.53	110	14.50	130	15.00	152.99	13.44	180	10.80
23	30	8.18	36.96	9.38	55	11.07	70	12.33	90	14.20	110	15.80	130	16.55	151.58	15.69	180	11.91
26	30	8.13	37.16	9.44	55	11.21	70	12.62	90	14.84	110	16.87	130	17.50	154.56	17.26	180	13.25
30	30	7.89	36.71	9.33	55	11.33	70	12.91	90	15.61	110	18.05	130	19.40	156.34	19.91	180	15.36
35	30	7.19	39.69	9.60	55	11.37	70	13.16	90	16.41	110	19.18	130	21.25	158.51	22.87	180	18.15
