twa/tws;0;5;10;15;20;25;30;35;40;45;50;55;60
0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5;0.00;0.49;1.52;2.00;2.28;2.29;1.94;1.75;1.59;1.47;1.36;1.31;1.25
10;0.00;0.98;3.05;4.00;4.56;4.57;3.86;3.49;3.18;2.96;2.73;2.62;2.50
15;0.00;1.48;4.58;6.00;6.84;6.86;5.80;5.23;4.77;4.43;4.09;3.92;3.75
20;0.00;1.97;6.11;8.00;9.13;9.15;7.72;6.98;6.37;5.91;5.45;5.22;5.00
25;0.00;2.47;7.63;10.01;11.40;11.44;9.66;8.73;7.96;7.39;6.82;6.54;6.25
30;0.00;2.96;9.16;12.01;13.68;13.72;11.59;10.47;9.54;8.86;8.18;7.84;7.50
35;0.00;3.46;10.69;14.01;15.96;16.02;13.52;12.22;11.14;10.35;9.55;9.15;8.75
40;0.00;3.95;12.22;16.01;18.23;18.30;15.32;13.79;12.73;11.82;10.91;10.44;10.00
45;0.00;4.44;13.46;18.01;20.24;20.38;17.06;15.50;14.32;13.30;12.27;11.79;11.25
50;0.00;4.93;14.70;19.62;22.59;22.73;19.00;17.19;15.91;14.78;13.64;13.34;12.56
55;0.00;5.48;15.85;21.17;24.56;24.77;20.85;18.60;16.98;15.99;15.00;14.99;14.08
60;0.00;6.09;16.94;22.73;26.51;26.95;22.63;19.92;18.02;17.01;16.00;15.77;15.13
65;0.00;6.92;18.05;23.97;28.19;28.64;24.62;21.58;19.46;18.23;17.00;16.54;15.84
70;0.00;7.75;19.16;25.21;29.85;30.55;26.39;23.28;20.91;19.45;18.00;17.51;16.50
75;0.00;8.45;20.26;26.45;31.71;32.35;28.53;25.25;22.35;20.68;19.00;18.44;17.13
80;0.00;8.74;21.12;27.65;33.27;34.17;30.49;27.04;23.89;21.95;20.00;19.24;17.67
85;0.00;8.90;21.61;29.06;34.80;36.05;32.44;28.82;25.44;23.22;21.00;19.93;18.33
90;0.00;9.07;21.96;30.30;36.11;37.44;34.15;30.61;26.97;24.49;22.00;20.77;19.00
95;0.00;9.07;22.15;31.48;36.79;38.41;34.97;31.48;28.01;25.50;23.00;21.78;20.00
100;0.00;9.07;22.19;32.49;37.45;38.83;35.56;32.34;29.05;26.53;24.00;22.80;21.00
105;0.00;9.07;22.23;33.28;37.71;39.16;36.14;33.20;30.09;27.55;25.11;23.99;22.31
110;0.00;9.07;22.27;33.78;37.99;39.39;36.72;34.06;31.13;28.56;26.53;25.50;23.98
115;0.00;8.93;21.96;33.58;37.76;39.35;36.79;34.44;31.94;29.97;28.00;26.95;25.54
120;0.00;8.51;21.39;33.15;37.27;38.91;36.86;34.81;32.74;31.37;29.58;28.28;26.73
125;0.00;7.84;20.28;31.89;36.18;38.00;36.60;35.12;33.47;32.07;30.67;29.17;27.67
130;0.00;6.89;18.92;30.63;34.84;36.99;36.36;35.45;34.21;32.77;31.48;29.83;28.33
135;0.00;6.21;17.55;29.37;33.50;36.06;36.10;35.76;34.69;33.18;31.88;30.20;29.00
140;0.00;5.66;16.37;27.47;31.75;35.18;35.15;35.05;34.46;33.03;31.60;30.12;28.64
145;0.00;5.24;15.54;25.75;29.99;34.19;34.22;34.34;33.99;32.60;31.20;29.74;28.28
150;0.00;4.91;14.71;24.17;28.13;32.80;33.28;33.64;33.51;32.15;30.80;29.36;27.92
155;0.00;4.70;13.76;22.59;26.27;31.17;32.34;32.93;33.04;31.72;30.40;28.98;27.56
160;0.00;4.44;12.82;21.02;24.41;28.98;30.35;32.22;32.55;30.99;30.00;28.60;27.20
165;0.00;4.21;11.88;19.45;22.56;26.28;28.32;29.84;30.14;28.95;27.75;26.45;25.15
170;0.00;3.92;10.93;17.87;20.68;23.91;26.07;27.47;27.73;26.61;25.50;24.30;23.10
175;0.00;3.63;9.98;16.30;18.82;21.71;23.81;25.09;25.31;24.28;23.25;22.15;21.05
180;0.00;3.33;9.04;14.72;16.97;19.53;21.55;22.70;22.90;21.95;21.00;20.00;19.00
