TWA\TWS;0;4;6;8;10;12;14;16;18;20;22;25;30;35;50;60
0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10;0.00;0.00;0.30;0.30;0.40;0.91;0.91;1.01;1.11;1.62;2.73;3.43;3.84;3.64;1.01;0.00
20;0.00;0.30;1.01;1.21;1.31;2.63;2.12;2.93;3.23;4.24;5.96;8.08;7.98;8.48;3.43;0.00
30;0.00;0.91;2.22;2.32;3.23;5.55;4.85;6.06;6.56;9.19;9.90;12.82;12.02;12.02;6.06;0.00
40;0.00;2.22;3.94;4.04;5.86;9.09;8.89;10.00;11.92;14.84;14.84;16.86;15.65;15.25;9.39;0.00
45;0.00;4.04;5.55;6.66;9.49;12.02;12.72;13.53;15.35;17.37;17.87;18.88;17.67;16.86;11.41;0.00
50;0.00;5.76;7.57;9.49;12.52;13.94;16.06;17.07;18.48;19.69;20.20;20.80;19.49;18.88;13.63;0.00
55;0.00;7.27;9.29;11.31;14.34;15.85;18.28;19.69;20.80;22.01;22.32;22.72;21.21;20.90;15.95;0.00
60;0.00;8.08;10.10;12.12;15.15;17.17;20.30;21.61;22.92;23.83;24.13;24.44;22.62;22.72;18.18;0.00
65;0.00;8.68;10.70;12.72;15.75;18.28;21.71;23.02;24.74;25.55;25.75;26.05;24.34;24.13;19.89;1.01
70;0.00;9.29;11.31;13.33;16.36;19.19;22.72;24.13;26.25;26.96;27.16;27.37;25.85;25.25;21.10;2.24
80;0.00;9.90;11.92;13.94;16.96;20.60;24.03;26.05;28.68;29.28;29.49;29.69;28.88;27.06;23.12;4.71
90;0.00;10.20;12.22;14.24;17.27;21.31;24.84;27.57;30.29;31.10;31.30;31.51;31.20;28.58;24.54;7.18
100;0.00;10.50;12.52;14.54;17.57;21.61;25.35;28.48;31.10;32.31;32.41;33.02;33.12;29.89;25.95;9.65
110;0.00;10.50;12.52;14.54;17.57;21.61;25.35;28.68;31.30;33.02;33.63;34.43;34.64;31.10;27.57;12.12
120;0.00;10.20;12.22;14.34;17.37;20.30;24.24;28.17;31.00;33.22;34.54;35.54;36.05;32.21;29.08;14.59
130;0.00;8.58;10.70;12.62;16.06;17.97;22.11;26.66;29.79;32.72;34.84;36.15;36.96;33.53;30.70;17.05
135;0.00;7.78;9.49;11.41;14.54;16.26;20.50;25.35;28.78;31.81;34.54;36.15;37.16;33.93;31.71;18.29
140;0.00;6.87;8.48;10.10;12.93;14.54;18.88;23.33;27.26;30.29;33.42;35.75;36.96;33.83;32.41;19.52
145;0.00;6.06;7.37;8.89;11.41;12.93;17.27;21.21;24.54;27.06;31.30;34.33;36.35;33.42;32.92;20.76
150;0.00;5.15;6.36;7.57;9.80;11.21;15.65;19.19;21.61;24.24;27.77;30.80;34.94;32.72;33.02;21.99
155;0.00;4.34;5.35;6.36;8.28;9.49;14.04;16.96;19.09;21.31;24.44;27.47;31.91;30.19;31.51;23.23
160;0.00;3.43;4.24;5.05;6.77;7.78;12.52;14.24;16.66;18.78;21.41;23.93;28.17;27.87;29.08;22.22
165;0.00;2.52;3.13;3.84;5.15;6.06;10.91;12.12;14.54;16.36;18.28;21.00;24.54;24.64;26.76;21.21
180;0.00;0.00;0.00;0.00;0.50;1.01;6.06;5.96;6.46;7.47;8.08;10.20;12.93;13.94;17.37;18.18
