WindVelocity 6 8 10 12 14 16 20 
BeatAngles 44.4° 43.4° 41.9° 40.5° 39.6° 39.1° 39.8°
BeatVMG 3.20 3.94 4.49 4.78 4.96 5.07 5.12
52° 4.97 6.02 6.68 7.05 7.21 7.31 7.41
60° 5.31 6.32 6.93 7.31 7.49 7.59 7.69
75° 5.60 6.54 7.11 7.50 7.82 8.02 8.17
90° 5.73 6.76 7.35 7.54 7.79 8.06 8.56
110° 5.64 6.75 7.44 7.93 8.29 8.49 8.83
120° 5.43 6.56 7.30 7.79 8.24 8.67 9.14
135° 4.78 5.99 6.88 7.41 7.84 8.26 9.14
150° 3.98 5.10 6.16 6.88 7.37 7.78 8.56
GybeAngles 142.6° 146.8° 152.5° 162.0° 167.4° 171.9° 173.0°
RunVMG 3.45 4.42 5.34 6.08 6.69 7.17 7.93
