TWSknop;6;8;10;12;14;16;18;20
TWA;44,2°;43,4°;41,5°;39,6°;38,4°;37,6°;37,3°;37,1°
WMG;3,03;3,71;4,13;4,36;4,52;4,63;4,68;4,73
50°;4,85;5,75;6,2;6,45;6,6;6,7;6,74;6,77
55°;5,05;5,95;6,35;6,6;6,75;6,83;6,87;6,9
60°;5,2;6,05;6,5;6,75;6,9;6,97;7,02;7,05
65°;5,3;6,15;6,58;6,85;7,08;7,14;7,18;7,2
70°;5,4;6,23;6,64;6,93;7,15;7,23;7,27;7,3
75°;5,5;6,3;6,7;7;7,2;7,3;7,36;7,4
80°;5,55;6,35;6,76;7,08;7,25;7,37;7,46;7,53
85°;5,58;6,38;6,83;7,13;7,3;7,44;7,58;7,65
90°;5,6;6,4;6,9;7,17;7,35;7,5;7,66;7,75
95°;5,58;6,38;6,88;7,19;7,37;7,55;7,72;7,85
100°;5,53;6,33;6,83;7,16;7,4;7,6;7,8;7,95
105°;5,45;6,29;6,79;7,13;7,43;7,65;7,88;8,07
110°;5,35;6,25;6,75;7,1;7,4;7,7;7,93;8,1
115°;5,2;6,1;6,67;7,05;7,35;7,7;7,98;8,15
120°;5;6;6,6;7;7,3;7,65;8,04;8,2
125°;4,8;5,85;6,5;6,9;7,23;7,55;7,97;8,2
130°;4,65;5,65;6,35;6,8;7,16;7,45;7,85;8,1
135°;4,35;5,45;6,2;6,7;7,05;7,35;7,75;8
140°;4,1;5,2;6;6,55;6,9;7,25;7,6;7,9
145°;3,85;4,9;5,8;6,35;6,8;7,15;7,45;7,78
150°;3,65;4,65;5,6;6,2;6,7;7,05;7,35;7,65
