TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
5;0.000;0.210;0.420;0.630;0.800;0.860;0.920;0.940;0.950;0.970;0.980;0.980;0.990;0.950;0.880;0.810;0.740;0.670;0.600;0.530;0.460;0.370;0.280;0.190;0.090;0.000;0.000;0.000;0.000;0.000;0.000
10;0.000;0.420;0.850;1.270;1.600;1.720;1.830;1.880;1.910;1.930;1.950;1.960;1.970;1.910;1.770;1.630;1.490;1.350;1.210;1.070;0.930;0.740;0.560;0.370;0.190;0.000;0.000;0.000;0.000;0.000;0.000
15;0.000;0.640;1.270;1.900;2.400;2.590;2.750;2.830;2.860;2.900;2.930;2.940;2.960;2.860;2.650;2.440;2.230;2.020;1.810;1.600;1.400;1.120;0.840;0.560;0.280;0.000;0.000;0.000;0.000;0.000;0.000
20;0.000;0.850;1.690;2.530;3.210;3.450;3.660;3.770;3.820;3.860;3.910;3.930;3.950;3.820;3.540;3.260;2.980;2.700;2.420;2.140;1.860;1.490;1.120;0.740;0.370;0.000;0.000;0.000;0.000;0.000;0.000
25;0.000;1.060;2.120;3.160;4.010;4.310;4.580;4.710;4.770;4.830;4.880;4.910;4.930;4.770;4.420;4.070;3.720;3.370;3.020;2.670;2.330;1.860;1.400;0.930;0.470;0.000;0.000;0.000;0.000;0.000;0.000
30;0.000;1.270;2.540;3.800;4.810;5.170;5.490;5.650;5.730;5.790;5.860;5.890;5.920;5.720;5.310;4.890;4.470;4.050;3.630;3.210;2.790;2.230;1.670;1.120;0.560;0.000;0.000;0.000;0.000;0.000;0.000
35;0.000;1.490;2.990;4.410;5.510;5.950;6.300;6.430;6.480;6.540;6.600;6.610;6.620;6.460;6.110;5.770;5.430;5.080;4.740;4.390;4.050;3.240;2.430;1.620;0.810;0.000;0.000;0.000;0.000;0.000;0.000
40;0.000;1.710;3.410;4.930;6.060;6.600;6.810;6.910;6.960;7.020;7.080;7.110;7.140;7.030;6.770;6.510;6.250;6.000;5.740;5.480;5.220;4.180;3.130;2.090;1.040;0.000;0.000;0.000;0.000;0.000;0.000
45;0.000;1.890;3.770;5.330;6.450;6.900;7.060;7.140;7.190;7.250;7.310;7.350;7.380;7.330;7.180;7.030;6.890;6.740;6.590;6.450;6.300;5.040;3.780;2.520;1.260;0.000;0.000;0.000;0.000;0.000;0.000
50;0.000;2.000;4.010;5.590;6.630;7.000;7.230;7.340;7.390;7.460;7.520;7.570;7.610;7.590;7.510;7.430;7.350;7.270;7.180;7.100;7.020;5.620;4.210;2.810;1.400;0.000;0.000;0.000;0.000;0.000;0.000
55;0.000;2.130;4.250;5.860;6.820;7.090;7.400;7.530;7.590;7.660;7.740;7.790;7.840;7.850;7.820;7.790;7.770;7.740;7.710;7.680;7.650;6.120;4.590;3.060;1.530;0.000;0.000;0.000;0.000;0.000;0.000
60;0.000;2.250;4.490;6.120;7.000;7.190;7.570;7.730;7.790;7.870;7.950;8.010;8.070;8.110;8.120;8.130;8.140;8.150;8.170;8.180;8.190;6.550;4.910;3.280;1.640;0.000;0.000;0.000;0.000;0.000;0.000
65;0.000;2.310;4.610;6.220;7.060;7.260;7.710;7.910;7.980;8.070;8.160;8.230;8.300;8.350;8.390;8.420;8.460;8.490;8.530;8.560;8.600;6.880;5.160;3.440;1.720;0.000;0.000;0.000;0.000;0.000;0.000
70;0.000;2.370;4.730;6.330;7.120;7.330;7.850;8.090;8.170;8.270;8.370;8.450;8.530;8.590;8.640;8.680;8.730;8.770;8.820;8.860;8.910;7.130;5.350;3.560;1.780;0.000;0.000;0.000;0.000;0.000;0.000
75;0.000;2.380;4.770;6.360;7.130;7.350;7.970;8.250;8.350;8.460;8.570;8.670;8.770;8.850;8.900;8.940;8.990;9.040;9.090;9.130;9.180;7.340;5.510;3.670;1.840;0.000;0.000;0.000;0.000;0.000;0.000
80;0.000;2.400;4.800;6.380;7.150;7.360;8.100;8.420;8.530;8.650;8.770;8.890;9.020;9.100;9.140;9.170;9.210;9.250;9.290;9.320;9.360;7.490;5.620;3.740;1.870;0.000;0.000;0.000;0.000;0.000;0.000
85;0.000;2.380;4.770;6.360;7.230;7.410;8.080;8.440;8.670;8.830;8.980;9.130;9.290;9.370;9.400;9.420;9.440;9.470;9.490;9.520;9.540;7.670;5.800;3.930;2.070;0.200;0.160;0.120;0.080;0.040;0.000
90;0.000;2.370;4.730;6.330;7.310;7.450;8.060;8.460;8.810;9.000;9.200;9.380;9.550;9.650;9.660;9.670;9.680;9.690;9.700;9.710;9.720;7.960;6.190;4.430;2.660;0.900;0.720;0.540;0.360;0.180;0.000
95;0.000;2.360;4.710;6.400;7.330;7.510;8.110;8.430;8.810;9.090;9.380;9.610;9.840;9.950;9.930;9.910;9.890;9.870;9.850;9.830;9.810;8.210;6.610;5.000;3.400;1.800;1.440;1.080;0.720;0.360;0.000
